date,type,category,name,amount,notes
2025-01-01,income,Salary,January Salary,3000,
2025-01-03,expense,Rent,January Rent,1200,
2025-01-05,expense,Food,Groceries,120,
2025-01-07,expense,Transport,Metro Card,45,
2025-01-12,expense,Utilities,Electricity Bill,80,
2025-02-01,income,Salary,February Salary,3000,
2025-02-02,expense,Rent,February Rent,1200,
2025-02-06,expense,Food,Groceries,130,
2025-02-10,expense,Entertainment,Streaming Subscription,15,Recurring
2025-02-15,expense,Healthcare,Pharmacy,25,
2025-03-01,income,Freelance,Logo Design,450,
2025-03-02,expense,Rent,March Rent,1200,
2025-03-04,expense,Food,Groceries,125,
2025-03-09,expense,Transport,Rideshare,22,
2025-03-18,expense,Shopping,Shoes,90,
2025-04-01,income,Salary,April Salary,3000,
2025-04-03,expense,Rent,April Rent,1200,
2025-04-05,expense,Utilities,Water Bill,35,
2025-04-07,expense,Food,Dining Out,48,
2025-04-20,expense,Education,Online Course,60,
2025-05-01,income,Salary,May Salary,3000,
2025-05-02,expense,Rent,May Rent,1200,
2025-05-06,expense,Food,Groceries,140,
2025-05-11,expense,Transport,Fuel,50,
2025-05-19,expense,Entertainment,Cinema,18,
2025-06-01,income,Salary,June Salary,3000,
2025-06-02,expense,Rent,June Rent,1200,
2025-06-04,expense,Utilities,Internet,40,Recurring
2025-06-08,expense,Food,Dining Out,35,
2025-06-25,expense,Travel,Weekend Trip,200,
2025-07-01,income,Salary,July Salary,3000,
2025-07-02,expense,Rent,July Rent,1200,
2025-07-06,expense,Food,Groceries,150,
2025-07-15,expense,Healthcare,Dentist,75,
2025-07-22,expense,Savings,Emergency Fund,200,
2025-08-01,income,Salary,August Salary,3000,
2025-08-02,expense,Rent,August Rent,1200,
2025-08-06,expense,Food,Groceries,135,
2025-08-12,expense,Shopping,Clothes,110,
2025-08-18,expense,Transport,Taxi,28,
2025-09-01,income,Salary,September Salary,3000,
2025-09-02,expense,Rent,September Rent,1200,
2025-09-05,expense,Food,Groceries,145,
2025-09-10,expense,Utilities,Gas Bill,30,
2025-09-21,expense,Entertainment,Concert,75,
2025-10-01,income,Salary,October Salary,3000,
2025-10-02,expense,Rent,October Rent,1200,
2025-10-06,expense,Food,Groceries,155,
2025-10-11,expense,Transport,Bus Pass,40,
2025-10-20,expense,Travel,Flight Ticket,320,
2025-11-01,income,Salary,November Salary,3000,
2025-11-02,expense,Food,Groceries,160,
2025-11-02,expense,Utilities,Electricity Bill,85,
